S06	Aminoglucósidos
S07	Aminoglucósidos, Fluoroquinolonas
S08	Aminoglucósidos
S09	Aminoglucósidos
S10	Aminoglucósidos
S11	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
S12	Aminoglucósidos
S13	Aminoglucósidos
S14	Aminoglucósidos
S15	Aminoglucósidos, Fluoroquinolonas
S16	Aminoglucósidos
S17	Aminoglucósidos
S18	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
S19	Aminoglucósidos
S20	Aminoglucósidos
S21	Aminoglucósidos
S22	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
S23	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
S24	Aminoglucósidos, Betalactámicos, Fenicoles, Fosfomicina, Sulfonamidas, Tetraciclinas
S25	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
S26	Aminoglucósidos
S27	Aminoglucósidos
S28	Aminoglucósidos
S61	Aminoglucósidos
S62	Aminoglucósidos, Fluoroquinolonas, Tetraciclinas
S63	Aminoglucósidos, Fluoroquinolonas
S64	Aminoglucósidos
S65	Aminoglucósidos
S66	Aminoglucósidos, Fluoroquinolonas, Tetraciclinas
S67	Aminoglucósidos
S68	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
S69	Aminoglucósidos
S70	Aminoglucósidos
S71	Aminoglucósidos
S72	Aminoglucósidos
S73	Aminoglucósidos
S74	Aminoglucósidos
S75	Aminoglucósidos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
S76	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
S77	Aminoglucósidos
S78	Aminoglucósidos, Betalactámicos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
S79	Aminoglucósidos
S80	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Tetraciclinas
S81	Aminoglucósidos
S82	Aminoglucósidos
S83	Aminoglucósidos
S84	Aminoglucósidos
S85	Aminoglucósidos
S86	Aminoglucósidos, Betalactámicos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
S87	Aminoglucósidos, Fenicoles, Fluoroquinolonas, Sulfonamidas
S88	Aminoglucósidos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
S89	Aminoglucósidos
S90	Aminoglucósidos
S91	Aminoglucósidos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
S92	Aminoglucósidos, Sulfonamidas, Tetraciclinas
S93	Aminoglucósidos, Sulfonamidas, Tetraciclinas
S94	Aminoglucósidos
S95	Aminoglucósidos, Tetraciclinas
S96	Aminoglucósidos
S97	Aminoglucósidos, Sulfonamidas, Tetraciclinas, Trimetoprima
S98	Aminoglucósidos
S99	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T01	Aminoglucósidos
T02	Aminoglucósidos, Fluoroquinolonas
T03	Aminoglucósidos
T04	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T05	Aminoglucósidos, Fluoroquinolonas
T06	Aminoglucósidos
T07	Aminoglucósidos
T08	Aminoglucósidos
T09	Aminoglucósidos, Tetraciclinas
T10	Aminoglucósidos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T11	Aminoglucósidos
T12	Aminoglucósidos
T13	Aminoglucósidos
T14	Aminoglucósidos
T15	Aminoglucósidos
T16	Aminoglucósidos
T17	Aminoglucósidos
T18	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T22	Aminoglucósidos
T23	Aminoglucósidos
T24	Aminoglucósidos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
T25	Aminoglucósidos
T26	Aminoglucósidos
T27	Aminoglucósidos
T28	Aminoglucósidos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T29	Aminoglucósidos
T30	Aminoglucósidos
T31	Aminoglucósidos, Fluoroquinolonas
T32	Aminoglucósidos
T33	Aminoglucósidos
T34	Aminoglucósidos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T35	Aminoglucósidos, Tetraciclinas
T36	Aminoglucósidos, Tetraciclinas
T37	Aminoglucósidos
T38	Aminoglucósidos, Sulfonamidas, Tetraciclinas
T40	Aminoglucósidos, Betalactámicos, Fenicoles, Fosfomicina, Sulfonamidas, Tetraciclinas
T41	Aminoglucósidos, Betalactámicos, Fenicoles, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
T42	Aminoglucósidos
T43	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T44	Aminoglucósidos, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Tetraciclinas
T45	Aminoglucósidos
T46	Aminoglucósidos, Fluoroquinolonas
T47	Aminoglucósidos, Fenicoles, Sulfonamidas, Tetraciclinas
T48	Aminoglucósidos
T49	Aminoglucósidos
T50	Aminoglucósidos
T51	Aminoglucósidos
T52	Aminoglucósidos
T53	Aminoglucósidos
T54	Aminoglucósidos
T55	Aminoglucósidos
T56	Aminoglucósidos
T57	Aminoglucósidos
T58	Aminoglucósidos
T59	Aminoglucósidos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T60	Aminoglucósidos
T61	Aminoglucósidos
T62	Aminoglucósidos
T63	Aminoglucósidos
T64	Aminoglucósidos
T65	Aminoglucósidos, Betalactámicos, Fluoroquinolonas, Tetraciclinas
T66	Aminoglucósidos
T76	Aminoglucósidos
T77	Aminoglucósidos, Tetraciclinas
T78	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas, Trimetoprima
T79	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Sulfonamidas, Tetraciclinas, Trimetoprima
T80	Aminoglucósidos
T81	Aminoglucósidos, Fluoroquinolonas, Tetraciclinas
T82	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
T84	Aminoglucósidos
T85	Aminoglucósidos, Fluoroquinolonas
T86	Aminoglucósidos, Fluoroquinolonas, Sulfonamidas, Tetraciclinas
T87	Aminoglucósidos, Fluoroquinolonas
T88	Aminoglucósidos
T89	Aminoglucósidos
T90	Aminoglucósidos, Fluoroquinolonas
T91	Aminoglucósidos, Sulfonamidas, Tetraciclinas
T92	Aminoglucósidos, Betalactámicos, Sulfonamidas, Tetraciclinas
T93	Aminoglucósidos, Sulfonamidas, Tetraciclinas, Trimetoprima
T94	Aminoglucósidos
T95	Aminoglucósidos
T96	Aminoglucósidos, Betalactámicos, Fenicoles, Fosfomicina, Sulfonamidas, Tetraciclinas, Trimetoprima
T97	Aminoglucósidos
T98	Aminoglucósidos
T99	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Macrólidos-Lincosamidas-Estreptograminas, Tetraciclinas, Trimetoprima
U01	Aminoglucósidos
U02	Aminoglucósidos
U32	Aminoglucósidos
U33	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Tetraciclinas
U34	Aminoglucósidos, Betalactámicos, Fenicoles, Fluoroquinolonas, Tetraciclinas
U35	Aminoglucósidos
U36	Aminoglucósidos, Betalactámicos, Sulfonamidas, Tetraciclinas
U37	Aminoglucósidos
U38	Aminoglucósidos, Sulfonamidas, Tetraciclinas
